a0,b0,c1,b1,c2,c3,c0
state1,state1,state0,state1,state0,state0,state1
state0,state1,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state1
state0,state1,state0,state0,state0,state1,state0
state0,state1,state1,state0,state1,state1,state0
state0,state1,state0,state1,state1,state0,state0
state1,state0,state0,state0,state1,state1,state1
state0,state1,state0,state0,state0,state1,state0
state1,state0,state0,state0,state1,state1,state1
state1,state1,state0,state0,state1,state0,state1
state0,state1,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state0
state0,state0,state1,state1,state1,state0,state0
state0,state1,state0,state1,state1,state0,state1
state1,state1,state0,state1,state0,state1,state1
state0,state0,state0,state0,state0,state0,state1
state1,state1,state0,state1,state1,state1,state1
state0,state1,state0,state1,state1,state1,state1
state0,state1,state1,state0,state0,state0,state0
state1,state0,state1,state0,state0,state1,state0
state1,state1,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state0
state0,state0,state1,state0,state0,state0,state1
state1,state1,state0,state0,state0,state0,state1
state0,state0,state1,state1,state0,state1,state1
state0,state0,state1,state1,state1,state0,state0
state0,state0,state0,state1,state0,state0,state1
state0,state0,state0,state1,state1,state0,state1
state1,state0,state1,state0,state1,state0,state1
state1,state1,state0,state1,state1,state1,state1
state1,state1,state1,state0,state0,state1,state1
state1,state0,state1,state0,state0,state0,state1
state1,state1,state0,state0,state0,state1,state1
state1,state0,state1,state1,state1,state0,state1
state1,state1,state1,state0,state0,state1,state0
state0,state0,state0,state1,state0,state1,state0
state1,state1,state0,state1,state1,state1,state0
state0,state1,state0,state1,state1,state0,state0
state0,state1,state0,state1,state1,state0,state1
state0,state0,state1,state1,state1,state0,state1
state0,state0,state1,state0,state0,state0,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state0,state0,state0,state0,state1
state0,state0,state1,state0,state1,state0,state1
state1,state1,state0,state1,state0,state1,state0
state0,state0,state1,state1,state0,state0,state0
state1,state1,state0,state0,state0,state1,state1
state0,state0,state1,state1,state0,state1,state0
state0,state1,state0,state0,state0,state1,state0
state0,state1,state0,state1,state0,state1,state1
state1,state0,state1,state1,state1,state0,state0
state1,state0,state1,state0,state0,state0,state1
state1,state1,state0,state0,state0,state1,state1
state0,state0,state0,state0,state0,state0,state1
state0,state1,state0,state1,state1,state0,state1
state0,state0,state0,state1,state1,state0,state1
state1,state1,state1,state1,state1,state0,state0
state0,state0,state0,state0,state0,state1,state0
state1,state0,state0,state1,state1,state0,state0
state0,state1,state0,state1,state0,state0,state1
state1,state1,state0,state1,state1,state1,state0
state0,state1,state0,state1,state0,state1,state1
state0,state0,state1,state1,state0,state0,state0
state0,state0,state1,state1,state0,state1,state1
state1,state1,state0,state1,state0,state1,state0
state1,state0,state1,state0,state0,state1,state1
state0,state0,state0,state0,state0,state1,state1
state0,state0,state0,state1,state1,state0,state1
state1,state0,state0,state0,state1,state1,state1
state0,state1,state0,state0,state0,state0,state0
state0,state1,state0,state1,state1,state0,state1
state0,state0,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state1,state1,state1,state1,state1
state0,state0,state1,state1,state1,state0,state1
state0,state1,state0,state1,state0,state0,state1
state0,state0,state0,state0,state0,state1,state1
state0,state0,state1,state1,state1,state1,state1
state0,state1,state0,state1,state0,state0,state1
state0,state0,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state0,state1,state0,state1,state0
state1,state0,state0,state0,state0,state0,state1
state1,state1,state0,state1,state0,state0,state1
state0,state1,state0,state0,state0,state0,state0
state0,state1,state0,state1,state0,state1,state0
state1,state0,state0,state0,state1,state1,state1
state0,state1,state0,state1,state1,state0,state1
state1,state1,state0,state1,state1,state1,state1
state1,state0,state1,state1,state1,state0,state1
state0,state1,state0,state0,state0,state0,state1
state1,state0,state1,state0,state0,state0,state1
state0,state0,state1,state1,state1,state0,state0
state1,state1,state0,state1,state0,state1,state1
state0,state1,state0,state1,state0,state0,state1
state0,state0,state1,state1,state1,state0,state0
state0,state1,state0,state0,state0,state0,state1
state0,state1,state0,state1,state1,state1,state1
state0,state0,state0,state0,state0,state1,state1
state0,state0,state1,state1,state1,state0,state0
state1,state0,state1,state0,state0,state0,state1
state0,state0,state1,state1,state0,state0,state1
state1,state1,state1,state1,state0,state0,state1
state0,state1,state1,state0,state0,state1,state0
state1,state0,state0,state0,state0,state0,state1
state0,state0,state0,state0,state0,state1,state1
state1,state0,state0,state1,state0,state1,state1
state1,state0,state1,state1,state0,state0,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state1,state1,state1,state0,state1
state1,state0,state0,state1,state0,state0,state1
state0,state1,state0,state1,state0,state0,state0
state0,state1,state0,state1,state1,state1,state1
state0,state1,state0,state1,state0,state0,state0
state0,state0,state1,state1,state1,state1,state1
state0,state0,state0,state0,state0,state0,state0
state0,state1,state1,state0,state0,state1,state0
state0,state0,state0,state1,state1,state0,state1
state1,state1,state0,state0,state0,state1,state1
state1,state0,state0,state1,state0,state0,state1
state1,state1,state0,state1,state0,state1,state1
state0,state0,state0,state1,state0,state0,state1
state0,state0,state1,state1,state1,state1,state0
state1,state1,state0,state0,state0,state1,state0
state1,state1,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state1
state0,state0,state1,state1,state1,state1,state1
state0,state0,state1,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state1,state1
state0,state0,state0,state1,state1,state0,state0
state0,state1,state0,state0,state0,state1,state1
state1,state1,state0,state1,state0,state0,state0
state0,state0,state0,state1,state1,state0,state1
state1,state1,state0,state1,state0,state1,state1
state0,state1,state0,state1,state0,state1,state0
state0,state0,state1,state1,state1,state1,state0
state1,state1,state0,state0,state0,state1,state1
state0,state0,state1,state1,state0,state0,state1
state0,state0,state1,state0,state0,state1,state1
state0,state1,state0,state0,state0,state1,state1
state1,state0,state0,state0,state1,state0,state1
state0,state0,state1,state1,state0,state0,state1
state0,state1,state0,state1,state0,state1,state1
state1,state0,state1,state1,state1,state1,state1
state0,state0,state1,state1,state1,state0,state0
state0,state0,state0,state1,state1,state1,state0
state1,state0,state1,state1,state0,state0,state1
state1,state1,state0,state1,state1,state0,state0
state0,state0,state0,state1,state0,state0,state0
state1,state0,state1,state0,state0,state1,state1
state0,state0,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state1,state1
state0,state1,state0,state0,state1,state0,state1
state0,state0,state1,state0,state0,state1,state1
state0,state0,state0,state0,state0,state1,state0
state1,state1,state0,state0,state0,state0,state0
state0,state1,state0,state1,state1,state0,state1
state1,state0,state1,state0,state0,state1,state1
state0,state0,state1,state1,state0,state0,state0
state1,state0,state0,state0,state0,state1,state1
state1,state0,state1,state0,state1,state0,state1
state0,state0,state1,state1,state1,state1,state1
state1,state1,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state1
state0,state0,state0,state1,state1,state1,state1
state0,state0,state1,state1,state1,state0,state1
state0,state1,state0,state0,state0,state0,state1
state0,state1,state0,state0,state0,state1,state0
state0,state1,state0,state1,state0,state0,state1
state0,state0,state0,state1,state0,state0,state1
state0,state1,state0,state1,state0,state0,state1
state0,state1,state0,state1,state0,state1,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state0,state0,state0,state1,state1
state0,state0,state1,state1,state1,state1,state1
state0,state0,state0,state1,state1,state0,state1
state0,state1,state0,state0,state0,state1,state1
state0,state1,state0,state0,state0,state0,state1
state1,state1,state0,state1,state1,state1,state1
state0,state1,state0,state0,state1,state0,state1
state0,state0,state1,state1,state1,state0,state1
state0,state1,state0,state0,state0,state1,state1
state0,state1,state0,state1,state0,state0,state1
state1,state1,state0,state0,state0,state1,state0
state1,state1,state0,state1,state1,state0,state1
state0,state1,state1,state1,state1,state1,state1
state0,state0,state0,state1,state0,state1,state1
state0,state1,state0,state1,state0,state1,state0
state1,state1,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state1
state0,state1,state0,state1,state1,state0,state0
state0,state0,state1,state1,state0,state0,state1
state0,state0,state0,state1,state0,state1,state1
state0,state1,state0,state1,state1,state1,state1
state1,state1,state0,state1,state1,state1,state1
state0,state1,state0,state1,state0,state0,state1
state0,state1,state0,state1,state1,state0,state1
state0,state0,state0,state1,state0,state0,state1
state0,state1,state0,state0,state0,state0,state0
state0,state0,state0,state0,state0,state1,state1
state1,state0,state1,state1,state0,state0,state1
state0,state1,state0,state1,state0,state0,state0
state0,state0,state1,state1,state1,state0,state1
